"","dataset.num","variable","level","year","satt","lower90","upper90"
"1","1701","Overall","NA","NA",89.7030962004792,69.1382233479912,110.267969052967
"2","1701","Overall","NA","3",66.1545369755631,49.4249062058418,82.8841677452845
"3","1701","Overall","NA","4",91.0628978729887,68.787911289387,113.33788445659
"4","1701","X1","0",NA,76.8258185837853,54.2300580220187,99.421579145552
"5","1701","X1","1",NA,42.6231791306107,16.6768513945769,68.5695068666444
"6","1701","X2","A",NA,45.8590017612385,19.6270529769049,72.090950545572
"7","1701","X2","B",NA,75.7553347458584,47.921285960239,103.589383531478
"8","1701","X2","C",NA,14.6474353371884,-17.4137711206557,46.7086417950325
"9","1701","X3","0",NA,47.3073654136954,23.9096942476796,70.7050365797112
"10","1701","X3","1",NA,36.0378143912608,13.4077157153227,58.6679130671989
"11","1701","X4","A",NA,40.9785776397921,22.4432347780992,59.513920501485
"12","1701","X4","B",NA,136.77242606949,42.8071522208431,230.737699918137
"13","1701","X4","C",NA,104.642739225799,69.8776915135248,139.407786938074
"14","1701","X5","0",NA,74.8922653740115,50.3574539992315,99.4270767487914
"15","1701","X5","1",NA,54.4917853303612,32.7590793454658,76.2244913152565
"16","1702","Overall","NA","NA",42.1651938717678,23.3696489936448,60.9607387498907
"17","1702","Overall","NA","3",50.915323010873,34.7723255258733,67.0583204958726
"18","1702","Overall","NA","4",23.5128354588812,0.0906272379064781,46.935043679856
"19","1702","X1","0",NA,59.8865781655511,38.6423588853998,81.1307974457024
"20","1702","X1","1",NA,4.9815603925249,-17.0478042741784,27.0109250592282
"21","1702","X2","A",NA,35.6180676402496,12.0667768488346,59.1693584316646
"22","1702","X2","B",NA,39.643684637351,14.4626961901315,64.8246730845705
"23","1702","X2","C",NA,-2.33901908396365,-26.5700750395263,21.892036871599
"24","1702","X3","0",NA,38.4813663989582,15.1521968409097,61.8105359570068
"25","1702","X3","1",NA,27.6370395164458,4.37745103430367,50.896627998588
"26","1702","X4","A",NA,16.7432495402502,-0.402235240889805,33.8887343213902
"27","1702","X4","B",NA,28.956478521412,-13.9039234833225,71.8168805261465
"28","1702","X4","C",NA,69.4695859162839,38.9755129376646,99.9636588949032
"29","1702","X5","0",NA,30.2287968184382,7.74166456710714,52.7159290697693
"30","1702","X5","1",NA,27.4840743123714,4.08056217967352,50.8875864450692
"31","1703","Overall","NA","NA",30.7082910266813,17.4537799228035,43.9628021305591
"32","1703","Overall","NA","3",21.5817147837624,8.28392247330281,34.8795070942221
"33","1703","Overall","NA","4",32.4821651202037,16.3900516533457,48.5742785870618
"34","1703","X1","0",NA,5.66795547819765,-12.3090478045053,23.6449587609006
"35","1703","X1","1",NA,44.5380612654249,27.4938870589386,61.5822354719111
"36","1703","X2","A",NA,23.1375955711637,3.66442493618297,42.6107662061445
"37","1703","X2","B",NA,42.2135221982437,20.513465724557,63.9135786719304
"38","1703","X2","C",NA,21.4294645335187,-9.33380903927602,52.1927381063135
"39","1703","X3","0",NA,52.4294076431518,30.7640132771621,74.0948020091415
"40","1703","X3","1",NA,21.6694254847803,5.74885768407952,37.589993285481
"41","1703","X4","A",NA,44.4156778233782,29.585578829108,59.2457768176485
"42","1703","X4","B",NA,-28.2182174065385,-69.3874437273562,12.9510089142792
"43","1703","X4","C",NA,13.7428129370492,-26.7059939299508,54.1916198040491
"44","1703","X5","0",NA,45.3495007443664,27.2596518081669,63.439349680566
"45","1703","X5","1",NA,18.2067650655738,0.298901766319446,36.1146283648281
"46","1704","Overall","NA","NA",15.8824343644528,-0.0607765268474818,31.8256452557531
"47","1704","Overall","NA","3",20.5594856145351,3.40837157711966,37.7105996519506
"48","1704","Overall","NA","4",17.7341594576073,-3.37753855912276,38.8458574743375
"49","1704","X1","0",NA,7.44577577456243,-21.2674955523226,36.1590471014474
"50","1704","X1","1",NA,19.6327118379377,0.352160206018016,38.9132634698573
"51","1704","X2","A",NA,-16.0146899982869,-40.9506231247508,8.92124312817695
"52","1704","X2","B",NA,18.8225364633649,-9.14343138792308,46.788504314653
"53","1704","X2","C",NA,36.4025614832574,16.0555462721282,56.7495766943866
"54","1704","X3","0",NA,-22.3250171039624,-45.1608836228817,0.510849414956887
"55","1704","X3","1",NA,35.0539624336966,15.3686082596477,54.7393166077455
"56","1704","X4","A",NA,14.6326980902227,-1.81007392195525,31.0754701024006
"57","1704","X4","B",NA,79.3877696850889,10.3501427074693,148.425396662708
"58","1704","X4","C",NA,-63.5181363052648,-90.6891000486334,-36.3471725618961
"59","1704","X5","0",NA,-15.923892487549,-37.6220489262595,5.77426395116155
"60","1704","X5","1",NA,30.1629349021714,11.4167860163513,48.9090837879915
"61","1705","Overall","NA","NA",21.2482811089767,9.44054221310148,33.0560200048519
"62","1705","Overall","NA","3",7.27069220120666,-5.21211719191194,19.7535015943253
"63","1705","Overall","NA","4",22.9788848172254,7.55114515964752,38.4066244748033
"64","1705","X1","0",NA,-2.48795063313696,-19.7308229169016,14.7549216506277
