id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,0,A,0,A,1,23.472,10.431,0.515,15.465
2,0,C,1,A,1,31.041,10.888,0.474,-23.714
3,0,A,0,A,0,30.931,6.487,0.659,12.602
4,1,C,1,A,1,28.986,14.462,0.543,46.415
5,1,A,0,A,0,28.095,6.225,0.329,89.329
6,0,B,0,A,0,29.459,2.483,0.39,29.69
7,1,B,0,A,1,23.9,15.352,0.279,49.239
8,0,C,1,A,1,28.07,8.931,0.445,-43.429
9,0,A,0,A,0,23.526,0.84,0.329,-0.161
10,0,A,0,A,0,17.475,5.548,0.427,51.134
11,1,C,1,A,1,34.609,12.013,0.182,4.622
12,1,A,0,A,0,17.4,1.731,0.404,-16.788
13,0,C,1,A,1,28.274,4.319,0.417,59.982
14,0,B,1,A,0,31.172,2.065,0.571,12.804
15,1,A,0,A,1,16.701,16.238,0.435,-16.954
16,1,A,1,A,1,25.497,10.617,0.433,15.075
17,0,B,1,A,0,35.073,4.09,0.26,-18.772
18,1,C,0,A,0,38.046,4.816,0.309,-49.462
19,0,A,1,A,1,34.709,14.048,0.556,33.763
20,0,C,1,A,1,37.716,5.606,0.235,27.643
21,0,A,0,B,1,29.754,12.411,0.127,20.357
22,0,C,1,A,1,20.663,0.705,0.573,40.774
23,1,C,0,A,1,19.909,9.806,0.342,10.99
24,1,A,1,A,1,30.298,13.626,0.629,41.217
25,1,B,1,A,0,16.373,6.225,0.433,107.308
26,0,A,0,C,0,44.204,1.652,0.684,55.094
27,0,B,0,A,1,51.812,6.6,0.337,39.502
28,0,C,1,B,1,34.968,13.477,0.535,88.105
29,1,C,0,A,1,27.273,9.718,0.341,2.471
30,1,B,0,B,1,32.763,20.528,0.461,-17.86
31,0,B,1,A,1,20.539,4.612,0.323,23.344
32,1,B,0,A,1,32.106,11.169,0.236,-1.721
33,1,C,1,A,1,22.827,14.051,0.409,-31.93
34,1,B,0,A,1,34.391,18.525,0.489,26.001
35,0,C,1,A,0,47.574,1.698,0.256,63.586
36,0,B,1,A,1,27.92,5.613,0.328,-13.085
37,1,C,1,A,1,39.082,14.203,0.248,39.153
38,1,C,1,A,0,21.331,12.858,0.469,-19.692
39,0,B,1,A,0,22.789,3.44,0.311,-0.087
40,0,C,1,A,0,22.322,0,0.305,41.006
41,1,A,0,A,1,18.816,15.577,0.421,-16.581
42,0,A,0,A,1,29.848,7.373,0.404,-69.01
43,1,B,1,A,1,27.052,16.8,0.282,67.14
44,0,A,0,A,1,27.399,3.571,0.391,0.742
45,1,B,1,C,1,27.639,15.205,0.502,17.964
46,1,B,1,A,1,19.263,11.129,0.297,105.646
47,0,A,1,B,1,26.251,11.033,0.107,0.878
48,0,B,0,B,0,43.173,9.607,0.546,-10.802
49,1,A,1,A,0,29.909,5.234,0.533,18.937
50,1,A,0,A,0,29.255,5.54,0.542,-71.346
51,1,B,0,B,0,20.919,5.927,0.389,-27.962
52,1,A,1,A,1,33.036,21.468,0.332,30.192
53,0,B,1,A,0,23.802,3.632,0.431,70.926
54,1,B,1,A,1,29.24,17.675,0.186,-17.11
55,1,B,1,A,0,19.349,7.243,0.423,52.226
56,1,A,1,B,1,25.61,13.305,0.685,8.916
57,1,C,0,A,1,21.781,14.476,0.599,98.563
58,1,A,1,C,0,41.341,8.578,0.642,148.905
59,1,C,1,A,1,23.082,10.33,0.386,68.786
60,0,A,1,A,0,17.655,9.08,0.347,-1.915
61,0,A,1,A,0,36.449,3.535,0.29,38.068
62,1,B,0,A,0,36.997,0,0.61,8.269
63,1,A,1,B,0,29.299,4.883,0.619,59.803
64,1,A,1,A,0,20.84,7.84,0.457,62.526
65,1,B,1,B,0,49.996,4.444,0.427,62.021
66,0,B,1,B,0,20.422,2.413,0.445,65.337
67,1,A,0,A,0,37.396,5.455,0.463,26.058
68,1,A,0,A,1,32.211,22.577,0.3,29.786
69,0,C,1,A,1,26.152,10.854,0.198,16.354
70,0,A,1,A,0,20.879,6.237,0.277,-20.036
71,0,B,0,B,0,18.318,0,0.28,5.969
72,0,C,1,C,1,25.383,11.86,0.442,4.783
73,0,C,1,B,1,23.923,10.91,0.34,-37.579
74,1,B,0,A,0,25.79,2.847,0.308,0.768
75,0,A,0,A,0,32.052,4.787,0.432,0.185
76,0,B,1,B,0,22.735,7.164,0.4,-34.034
