id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,945.7099283822241,1,0,1140,11.062,2.921,0.583,0.319,0.761,0.189,0.051
1,2,1287.4405332358988,1,0,1118,11.114,2.935,0.578,0.286,0.761,0.189,0.05
1,3,1469.7788478620985,1,1,1128,11.195,2.972,0.572,0.206,0.76,0.184,0.056
1,4,1648.3149970231705,1,1,1111,11.14,2.977,0.581,0.187,0.764,0.184,0.052
2,1,731.6882954652239,0,0,718,11.767,2.989,0.539,0.023,0.818,0.103,0.079
2,2,815.6087113807847,0,0,776,11.77,2.961,0.543,-0.013,0.818,0.104,0.077
2,3,1180.8958159073645,0,1,742,11.741,2.957,0.544,-0.033,0.819,0.101,0.08
2,4,1132.4023646186654,0,1,737,11.699,2.97,0.529,-0.05,0.828,0.095,0.077
3,1,1303.439657148899,0,0,189,11.156,3.386,0.524,0.159,0.571,0.233,0.196
3,2,1129.0277045595399,0,0,194,11.074,3.299,0.526,0.149,0.567,0.227,0.206
3,3,1046.635976137203,0,1,193,11.174,3.28,0.528,0.093,0.57,0.223,0.207
3,4,1404.826886008136,0,1,186,11.297,3.258,0.543,0.034,0.554,0.242,0.204
4,1,1171.4608535077687,0,0,658,10.716,2.982,0.599,0.504,0.626,0.233,0.141
4,2,1297.4481189319263,0,0,643,10.835,2.975,0.605,0.441,0.616,0.236,0.148
4,3,1530.3973487987134,0,1,629,11.023,2.93,0.587,0.358,0.617,0.235,0.148
4,4,1425.975859057424,0,1,657,11.051,2.96,0.577,0.263,0.616,0.25,0.134
5,1,898.7485790818384,1,0,180,11.507,3.067,0.572,-0.185,0.528,0.344,0.128
5,2,1234.3016292483067,1,0,181,11.566,3.116,0.569,-0.166,0.514,0.354,0.133
5,3,1440.8148132647502,1,1,199,11.635,3.06,0.533,-0.214,0.487,0.372,0.141
5,4,1246.8206418701911,1,1,183,11.748,3.126,0.541,-0.17,0.464,0.393,0.142
6,1,746.7914251807755,0,0,478,11.585,2.979,0.573,0.09,0.72,0.197,0.084
6,2,1156.4409924729375,0,0,482,11.54,3.039,0.571,0.116,0.724,0.191,0.085
6,3,1319.4476176549895,0,1,469,11.526,3.041,0.571,0.106,0.721,0.186,0.094
6,4,1502.671811105932,0,1,463,11.678,2.978,0.566,-0.003,0.698,0.205,0.097
7,1,939.8526994663358,0,0,866,10.947,2.928,0.585,0.305,0.584,0.233,0.182
7,2,1254.1253455938647,0,0,863,11.062,2.939,0.59,0.249,0.587,0.233,0.18
7,3,1389.2139056782185,0,1,835,10.966,2.921,0.575,0.201,0.581,0.241,0.178
7,4,1645.0735419216348,0,1,810,11.011,2.936,0.569,0.178,0.569,0.253,0.178
8,1,761.4692088651354,1,0,892,11.506,2.954,0.521,-0.034,0.664,0.09,0.247
8,2,983.1606887864297,1,0,849,11.446,2.954,0.521,-0.033,0.664,0.088,0.247
8,3,995.4305601828896,1,1,812,11.515,2.968,0.523,-0.058,0.671,0.084,0.245
8,4,1071.5631280511602,1,1,1046,11.554,3.01,0.534,-0.038,0.674,0.087,0.239
9,1,896.6137057531931,1,0,294,11.55,3.088,0.551,0.249,0.864,0.082,0.054
9,2,1213.4304295327483,1,0,335,11.499,3.096,0.525,0.168,0.869,0.084,0.048
9,3,1127.3345228888081,1,1,324,11.392,3.093,0.534,0.18,0.867,0.086,0.046
9,4,1272.0784212319936,1,1,341,11.455,3.088,0.522,0.093,0.868,0.082,0.05
10,1,864.381416991313,0,0,435,11.896,3.189,0.483,-0.121,0.637,0.264,0.099
10,2,882.4329857866845,0,0,429,11.806,3.156,0.485,-0.097,0.636,0.273,0.091
10,3,1137.2838401613635,0,1,399,11.901,3.168,0.501,-0.086,0.634,0.283,0.083
10,4,1330.0984104487682,0,1,408,11.829,3.216,0.493,-0.144,0.64,0.284,0.076
11,1,789.4101590833653,0,0,412,11.42,3.041,0.485,-0.072,0.619,0.279,0.102
11,2,980.868599318772,0,0,398,11.417,3.073,0.51,-0.051,0.621,0.274,0.106
11,3,1113.957091305909,0,1,514,11.612,2.998,0.512,-0.072,0.621,0.268,0.111
11,4,1276.4754198782928,0,1,493,11.513,3.061,0.531,-0.044,0.623,0.274,0.103
12,1,676.296911196534,0,0,275,11.812,2.818,0.498,-0.271,0.858,0.08,0.062
12,2,717.3707993340981,0,0,296,11.835,2.821,0.476,-0.253,0.865,0.078,0.057
12,3,812.7811681819691,0,1,323,11.846,2.789,0.455,-0.366,0.854,0.084,0.062
12,4,1035.4723291489386,0,1,311,11.837,2.836,0.466,-0.363,0.849,0.084,0.068
13,1,695.9617703298335,0,0,1374,12.421,2.986,0.4,-0.73,0.664,0.228,0.108
13,2,754.3744649205701,0,0,1342,12.28,2.96,0.408,-0.646,0.653,0.233,0.114
13,3,803.4438871687381,0,1,1240,12.148,2.968,0.418,-0.589,0.647,0.237,0.116
13,4,942.6473415125181,0,1,1171,12.05,2.979,0.421,-0.561,0.639,0.246,0.115
14,1,615.0013651398342,1,0,154,11.552,2.981,0.591,0.049,0.656,0.253,0.091
14,2,1381.2548342912744,1,0,161,11.517,2.994,0.584,0.067,0.671,0.224,0.106
14,3,986.3969771347478,1,1,176,11.61,2.966,0.557,-0.014,0.682,0.199,0.119
14,4,1219.7890604328825,1,1,171,11.745,3.099,0.556,-0.04,0.673,0.205,0.123
15,1,827.0381922023835,1,0,1097,11.6,2.994,0.501,-0.143,0.653,0.276,0.071
15,2,940.6163106271806,1,0,1046,11.632,3.008,0.495,-0.164,0.662,0.267,0.072
15,3,925.9361524532662,1,1,1127,11.693,2.975,0.486,-0.252,0.661,0.269,0.07
15,4,989.2058240688622,1,1,1160,11.801,3.012,0.485,-0.275,0.653,0.279,0.068
16,1,959.1490553385985,0,0,2718,11.277,2.986,0.571,0.256,0.557,0.356,0.087
16,2,1320.7683047338637,0,0,2721,11.34,2.994,0.565,0.214,0.553,0.364,0.083
16,3,1381.0062756905113,0,1,2724,11.356,2.988,0.553,0.135,0.557,0.363,0.08
16,4,1575.8002760469283,0,1,2568,11.417,2.993,0.541,0.088,0.558,0.359,0.083
17,1,716.983359114109,1,0,476,11.297,3.055,0.5,-0.162,0.691,0.235,0.074
17,2,852.1201465619785,1,0,459,11.348,2.993,0.508,-0.172,0.68,0.246,0.074
17,3,855.7849204610792,1,1,442,11.21,2.968,0.495,-0.234,0.679,0.242,0.079
17,4,938.7910538401679,1,1,462,11.218,3.009,0.487,-0.269,0.688,0.234,0.078
18,1,1025.1058948010664,0,0,659,11.15,3.103,0.592,0.102,0.587,0.208,0.205
18,2,1040.6406972834127,0,0,672,11.167,3.082,0.591,0.082,0.592,0.204,0.204
18,3,1309.5902272650487,0,1,700,11.17,3.003,0.581,0.045,0.589,0.203,0.209
18,4,1333.3052642896778,0,1,658,11.298,3.012,0.567,-0.014,0.59,0.204,0.207
19,1,1004.9460841982946,0,0,213,11.831,3.07,0.498,0.08,0.676,0.263,0.061
