> Qweights[order(weights),]
                                                V1 weights
 1:                                   SL.mean_All     0.00
 2:                     SL.mean_screen.corPearson     0.00
 3:                 SL.mean_screen.cramersv_grid4     0.00
 4:                  SL.glm_screen.cramersv_grid4     0.00
 5:                    SL.mean_screen.glmnet_nVar     0.00
 6:                        SL.mean_screen.glmnet3     0.00
 7:                                   SL.nnet_All     0.00
 8:                    SL.nnet_screen.glmnet_nVar     0.00
 9:                      SL.glm_screen.corPearson     0.01
10:                 SL.bayesglm_screen.corPearson     0.01
11:             SL.bayesglm_screen.cramersv_grid4     0.01
12:                 SL.gam2_screen.cramersv_grid4     0.01
13: SL.glm.interaction_info_screen.cramersv_grid4     0.01
14:              SL.xgboost_screen.cramersv_grid4     0.01
15:                 SL.nnet_screen.cramersv_grid4     0.01
16:    SL.randomForest_grid500_screen.glmnet_nVar     0.01
17:                     SL.glm_screen.glmnet_nVar     0.02
18:                SL.bayesglm_screen.glmnet_nVar     0.02
19:                 SL.xgboost_screen.glmnet_nVar     0.02
20:               SL.earth2_screen.cramersv_grid4     0.02
21:                   SL.randomForest_grid500_All     0.02
22: SL.randomForest_grid500_screen.cramersv_grid4     0.02
23:                     SL.gam2_screen.corPearson     0.03
24:                         SL.glm_screen.glmnet3     0.03
25:                    SL.bayesglm_screen.glmnet3     0.03
26:                                    SL.glm_All     0.04
27:                    SL.rpart_screen.corPearson     0.04
28:                SL.rpart_screen.cramersv_grid4     0.04
29:        SL.glm.interaction_info_screen.glmnet3     0.04
30:                                SL.xgboost_All     0.04
31:                                 SL.earth2_All     0.04
32:                               SL.bayesglm_All     0.05
33:                  SL.earth2_screen.glmnet_nVar     0.05
34:                   SL.rpart_screen.glmnet_nVar     0.06
35:                    SL.gam2_screen.glmnet_nVar     0.08
36:                       SL.rpart_screen.glmnet3     0.11
37:                        SL.gam2_screen.glmnet3     0.13

> gweights[order(weights),]
                                                V1 weights
 1:                                   SL.mean_All     0.00
 2:                               SL.bayesglm_All     0.00
 3:                     SL.mean_screen.corPearson     0.00
 4:                      SL.glm_screen.corPearson     0.00
 5:                 SL.bayesglm_screen.corPearson     0.00
 6:                    SL.rpart_screen.corPearson     0.00
 7:                     SL.gam2_screen.corPearson     0.00
 8:                 SL.mean_screen.cramersv_grid4     0.00
 9:                  SL.glm_screen.cramersv_grid4     0.00
10:             SL.bayesglm_screen.cramersv_grid4     0.00
11:                 SL.gam2_screen.cramersv_grid4     0.00
12:                    SL.mean_screen.glmnet_nVar     0.00
13:                     SL.glm_screen.glmnet_nVar     0.00
14:                SL.bayesglm_screen.glmnet_nVar     0.00
15:                   SL.rpart_screen.glmnet_nVar     0.00
16:                    SL.gam2_screen.glmnet_nVar     0.00
17:                        SL.mean_screen.glmnet3     0.00
18:                         SL.glm_screen.glmnet3     0.00
19:                    SL.bayesglm_screen.glmnet3     0.00
20:                       SL.rpart_screen.glmnet3     0.00
21:                        SL.gam2_screen.glmnet3     0.00
22: SL.glm.interaction_info_screen.cramersv_grid4     0.00
23:        SL.glm.interaction_info_screen.glmnet3     0.00
24:                                SL.xgboost_All     0.00
25:                 SL.xgboost_screen.glmnet_nVar     0.00
26:              SL.xgboost_screen.cramersv_grid4     0.00
27:                                 SL.earth2_All     0.00
28:                  SL.earth2_screen.glmnet_nVar     0.00
29:               SL.earth2_screen.cramersv_grid4     0.00
30:                                   SL.nnet_All     0.00
31:                    SL.nnet_screen.glmnet_nVar     0.00
32:                 SL.nnet_screen.cramersv_grid4     0.00
33:                   SL.randomForest_grid500_All     0.00
34:    SL.randomForest_grid500_screen.glmnet_nVar     0.00
35: SL.randomForest_grid500_screen.cramersv_grid4     0.00
36:                                    SL.glm_All     0.03
37:                SL.rpart_screen.cramersv_grid4     0.97


----------------------------------------------------------

> Qweights[order(weights),]
                                                V1 weights
 1:                                   SL.mean_All     0.00
 2:                     SL.mean_screen.corPearson     0.00
 3:                 SL.mean_screen.cramersv_grid4     0.00
 4:                  SL.glm_screen.cramersv_grid4     0.00
 5:                    SL.mean_screen.glmnet_nVar     0.00
 6:                        SL.mean_screen.glmnet3     0.00
 7:                                   SL.nnet_All     0.00
 8:                    SL.nnet_screen.glmnet_nVar     0.00
 9:                      SL.glm_screen.corPearson     0.01
10:                 SL.bayesglm_screen.corPearson     0.01
11:             SL.bayesglm_screen.cramersv_grid4     0.01
12:                 SL.gam2_screen.cramersv_grid4     0.01
13: SL.glm.interaction_info_screen.cramersv_grid4     0.01
14:              SL.xgboost_screen.cramersv_grid4     0.01
15:                 SL.nnet_screen.cramersv_grid4     0.01
16:    SL.randomForest_grid500_screen.glmnet_nVar     0.01
17:                     SL.glm_screen.glmnet_nVar     0.02
18:                SL.bayesglm_screen.glmnet_nVar     0.02
19:                 SL.xgboost_screen.glmnet_nVar     0.02
20:               SL.earth2_screen.cramersv_grid4     0.02
21:                   SL.randomForest_grid500_All     0.02
22: SL.randomForest_grid500_screen.cramersv_grid4     0.02
23:                    SL.rpart_screen.corPearson     0.03
24:                     SL.gam2_screen.corPearson     0.03
25:                         SL.glm_screen.glmnet3     0.03
26:                    SL.bayesglm_screen.glmnet3     0.03
27:                                    SL.glm_All     0.04
28:                SL.rpart_screen.cramersv_grid4     0.04
29:        SL.glm.interaction_info_screen.glmnet3     0.04
30:                                SL.xgboost_All     0.04
31:                                 SL.earth2_All     0.04
32:                               SL.bayesglm_All     0.05
33:                  SL.earth2_screen.glmnet_nVar     0.05
34:                   SL.rpart_screen.glmnet_nVar     0.06
35:                    SL.gam2_screen.glmnet_nVar     0.08
36:                       SL.rpart_screen.glmnet3     0.11
37:                        SL.gam2_screen.glmnet3     0.13

> gweights[order(weights),]
                                                V1 weights
 1:                                   SL.mean_All     0.00
 2:                               SL.bayesglm_All     0.00
 3:                     SL.mean_screen.corPearson     0.00
 4:                      SL.glm_screen.corPearson     0.00
 5:                 SL.bayesglm_screen.corPearson     0.00
 6:                    SL.rpart_screen.corPearson     0.00
 7:                     SL.gam2_screen.corPearson     0.00
 8:                 SL.mean_screen.cramersv_grid4     0.00
 9:                  SL.glm_screen.cramersv_grid4     0.00
10:             SL.bayesglm_screen.cramersv_grid4     0.00
11:                 SL.gam2_screen.cramersv_grid4     0.00
12:                    SL.mean_screen.glmnet_nVar     0.00
13:                     SL.glm_screen.glmnet_nVar     0.00
14:                SL.bayesglm_screen.glmnet_nVar     0.00
15:                   SL.rpart_screen.glmnet_nVar     0.00
16:                    SL.gam2_screen.glmnet_nVar     0.00
17:                        SL.mean_screen.glmnet3     0.00
18:                         SL.glm_screen.glmnet3     0.00
19:                    SL.bayesglm_screen.glmnet3     0.00
20:                       SL.rpart_screen.glmnet3     0.00
21:                        SL.gam2_screen.glmnet3     0.00
22: SL.glm.interaction_info_screen.cramersv_grid4     0.00
23:        SL.glm.interaction_info_screen.glmnet3     0.00
24:                                SL.xgboost_All     0.00
25:                 SL.xgboost_screen.glmnet_nVar     0.00
26:              SL.xgboost_screen.cramersv_grid4     0.00
27:                                 SL.earth2_All     0.00
28:                  SL.earth2_screen.glmnet_nVar     0.00
29:               SL.earth2_screen.cramersv_grid4     0.00
30:                                   SL.nnet_All     0.00
